,Date,Home Score,Home Team,Line,Line ,Visitor,Visitor Score
173,09/23/1978,24.0,Appalachian State, ,,Richmond,19.0
174,09/23/1978,13.0,Bucknell, ,,Rutgers,27.0
175,09/23/1978,14.0,Alabama,10.5,,Southern Cal,24.0
176,09/23/1978,16.0,Duke,0.0,,South Carolina,12.0
177,09/23/1978,31.0,UTEP, ,,San Diego State,24.0
178,09/23/1978,22.0,Colorado, ,,San Jose State,7.0
179,09/23/1978,26.0,Penn State,15.0,,S-M-U,21.0
180,09/23/1978,10.0,Illinois,-8.5,,Stanford,35.0
181,09/23/1978,49.0,Michigan State,7.5,,Syracuse,21.0
182,09/23/1978,10.0,Oregon,6.0,,Texas Christian,14.0
183,09/23/1978,20.0,Pittsburgh, ,,Temple,12.0
184,09/23/1978,20.0,Ball State, ,,Toledo,0.0
185,09/23/1978,27.0,Georgia Tech,9.0,,Tulane,17.0
186,09/23/1978,2.0,Boston College,-15.0,,Texas A+M,37.0
187,09/23/1978,28.0,Kansas,-16.5,,U.C.L.A.,24.0
188,09/23/1978,24.0,New Mexico, ,,Nevada-Las Vegas,0.0
189,09/23/1978,42.0,Houston, ,,Utah,25.0
190,09/23/1978,17.0,Army,7.0,,Virginia,21.0
191,09/23/1978,14.0,The Citadel, ,,Virginia Military,3.0
192,09/23/1978,14.0,Indiana,-9.0,,Washington,7.0
193,09/23/1978,13.0,Louisiana State,29.0,,Wake Forest,11.0
194,09/23/1978,7.0,Northwestern,-6.5,,Wisconsin,28.0
195,09/23/1978,7.0,Miami-Ohio, ,,Western Michigan,3.0
196,09/23/1978,17.0,Villanova, ,,William + Mary,21.0
197,09/23/1978,17.0,Southern Illinois, ,,West Texas A+M,3.0
198,09/23/1978,29.0,No Carolina State,14.0,,West Virginia,15.0
199,09/23/1978,17.0,Texas, ,,Wyoming,3.0
200,09/23/1978,0.0,Brown,4.0,,Yale,21.0
201,09/29/1978,21.0,Pennsylvania, ,,Lehigh,13.0
202,09/29/1978,30.0,Southern Cal,13.5,,Michigan State,9.0
203,09/30/1978,34.0,Kansas State,6.5,,Air Force,21.0
204,09/30/1978,0.0,Central Michigan, ,,Ball State,27.0
205,09/30/1978,34.0,Ohio State,14.0,,Baylor,28.0
206,09/30/1978,24.0,Western Michigan, ,,Bowling Green,20.0
207,09/30/1978,23.0,New Mexico, ,,Brigham Young,27.0
208,09/30/1978,21.0,West Virginia,-11.0,,California,28.0
209,09/30/1978,14.0,Middle Tennessee, ,,Chattanooga,14.0
210,09/30/1978,51.0,Richmond, ,,Cincinnati,28.0
211,09/30/1978,28.0,Georgia Tech, ,,The Citadel,0.0
212,09/30/1978,21.0,Yale, ,,Connecticut,7.0
213,09/30/1978,12.0,Colgate,5.5,,Cornell,21.0
214,09/30/1978,30.0,Utah, ,,Colorado State,6.0
215,09/30/1978,12.0,Fresno State, ,,Cal-San Luis Obispo,24.0
216,09/30/1978,35.0,Holy Cross,7.0,,Dartmouth,0.0
217,09/30/1978,10.0,Miami-Ohio, ,,Dayton,10.0
218,09/30/1978,38.0,Temple, ,,Delaware,7.0
219,09/30/1978,35.0,Iowa State, ,,Drake,7.0
220,09/30/1978,52.0,Michigan,17.0,,Duke,0.0
221,09/30/1978,17.0,Texas-Arlington, ,,East Carolina,23.0
222,09/30/1978,12.0,Toledo, ,,Eastern Michigan,17.0
223,09/30/1978,42.0,Hawaii, ,,Fullerton State,33.0
224,09/30/1978,34.0,Appalachian State, ,,Furman,52.0
225,09/30/1978,27.0,South Carolina,4.0,,Georgia,10.0
226,09/30/1978,21.0,Florida State,6.5,,Houston,27.0
227,09/30/1978,14.0,Syracuse,6.5,,Illinois,28.0
228,09/30/1978,49.0,Northern Illinois, ,,Illinois State,21.0
229,09/30/1978,31.0,Louisville, ,,Indiana State,12.0
230,09/30/1978,23.0,Arizona,6.0,,Iowa,3.0
231,09/30/1978,20.0,Maryland,4.5,,Kentucky,3.0
232,09/30/1978,21.0,Columbia, ,,Lafayette,0.0
233,09/30/1978,23.0,UL-Lafayette, ,,Lamar,16.0
234,09/30/1978,14.0,Pacific, ,,Long Beach State,0.0
235,09/30/1978,7.0,Rice,-24.0,,Louisiana State,37.0
236,09/30/1978,21.0,Western Carolina, ,,Marshall,14.0
237,09/30/1978,10.0,Harvard, ,,Massachusetts,0.0
238,09/30/1978,34.0,Louisiana Tech, ,,McNeese State,20.0
239,09/30/1978,58.0,Texas A+M,21.0,,Memphis,0.0
240,09/30/1978,6.0,Kansas,-1.0,,Miami-Florida,38.0
241,09/30/1978,17.0,U.C.L.A.,16.0,,Minnesota,3.0
242,09/30/1978,13.0,Southern Miss, ,,Mississippi,16.0
243,09/30/1978,45.0,Oklahoma,16.0,,Missouri,23.0
244,09/30/1978,34.0,Florida,-6.0,,Mississippi State,0.0
245,09/30/1978,8.0,Boston College,-1.0,,Navy,19.0
246,09/30/1978,20.0,Pittsburgh,-6.5,,North Carolina,16.0
247,09/30/1978,10.0,Wake Forest,-13.0,,No Carolina State,34.0
248,09/30/1978,17.0,Indiana,-7.5,,Nebraska,69.0
249,09/30/1978,0.0,Northwestern St(LA), ,,UL-Monroe,46.0
250,09/30/1978,43.0,Southern Illinois, ,,New Mexico State,39.0
251,09/30/1978,55.0,Colorado,27.0,,Northwestern,7.0
252,09/30/1978,20.0,Kent State, ,,Ohio,14.0
253,09/30/1978,12.0,North Texas, ,,Oklahoma State,7.0
254,09/30/1978,22.0,Wisconsin,13.0,,Oregon,19.0
255,09/30/1978,24.0,Rutgers,12.0,,Princeton,0.0
256,09/30/1978,10.0,Notre Dame,13.0,,Purdue,6.0
257,09/30/1978,3.0,Brown, ,,Rhode Island,17.0
258,09/30/1978,17.0,San Jose State, ,,Santa Clara,7.0
259,09/30/1978,58.0,Penn State,30.0,,Texas Christian,0.0
260,09/30/1978,29.0,Auburn,4.5,,Tennessee,10.0
261,09/30/1978,7.0,Texas Tech,-14.0,,Texas,24.0
262,09/30/1978,17.0,Stanford,15.0,,Tulane,14.0
263,09/30/1978,21.0,Arkansas,33.0,,Tulsa,13.0
264,09/30/1978,27.0,Arizona State, ,,UTEP,0.0
265,09/30/1978,13.0,Wyoming, ,,Utah State,20.0
266,09/30/1978,51.0,Alabama,29.0,,Vanderbilt,28.0
267,09/30/1978,31.0,Clemson, ,,Villanova,0.0
268,09/30/1978,9.0,Virginia,3.0,,Virginia Military,17.0
269,09/30/1978,0.0,Oregon State,-13.5,,Washington,34.0
270,09/30/1978,21.0,Army,-16.0,,Washington State,21.0
271,09/30/1978,37.0,West Texas A+M, ,,Wichita State,38.0
272,09/30/1978,22.0,Virginia Tech, ,,William + Mary,19.0
273,10/07/1978,25.0,Eastern Michigan, ,,Akron,14.0
274,10/07/1978,17.0,Washington,-7.0,,Alabama,20.0
275,10/07/1978,72.0,Chattanooga, ,,Appalachian State,14.0
276,10/07/1978,21.0,Michigan,21.0,,Arizona,17.0
277,10/07/1978,31.0,Tennessee,13.5,,Army,13.0
278,10/07/1978,14.0,Northwestern,-15.0,,Arizona State,56.0
279,10/07/1978,17.0,Dartmouth, ,,Boston University,20.0
280,10/07/1978,27.0,Toledo, ,,Bowling Green,45.0
281,10/07/1978,16.0,Princeton,1.5,,Brown,44.0
282,10/07/1978,24.0,Cornell, ,,Bucknell,0.0
283,10/07/1978,26.0,Florida State, ,,Cincinnati,21.0
284,10/07/1978,3.0,Ohio, ,,Central Michigan,17.0
285,10/07/1978,24.0,Harvard,6.5,,Colgate,21.0
286,10/07/1978,31.0,Pennsylvania,7.0,,Columbia,19.0
287,10/07/1978,6.0,Virginia Military, ,,East Carolina,19.0
288,10/07/1978,31.0,San Diego State, ,,Fresno State,14.0
289,10/07/1978,35.0,Pacific, ,,Fullerton State,17.0
290,10/07/1978,18.0,Baylor,-2.0,,Houston,20.0
291,10/07/1978,53.0,Nevada-Las Vegas, ,,Idaho,14.0
292,10/07/1978,45.0,Missouri,15.0,,Illinois,3.0
293,10/07/1978,34.0,Wisconsin,-4.0,,Indiana,7.0
294,10/07/1978,7.0,Ball State, ,,Indiana State,0.0
295,10/07/1978,17.0,Colorado,18.0,,Kansas,7.0
296,10/07/1978,24.0,Tulsa, ,,Louisville,7.0
297,10/07/1978,21.0,Florida,-6.0,,Louisiana State,34.0
298,10/07/1978,24.0,UL-Lafayette, ,,Louisiana Tech,6.0
299,10/07/1978,41.0,The Citadel, ,,Marshall,0.0
300,10/07/1978,15.0,Auburn,7.0,,Miami-Florida,17.0
301,10/07/1978,3.0,North Carolina, ,,Miami-Ohio,7.0
302,10/07/1978,42.0,Georgia,3.5,,Mississippi,3.0
303,10/07/1978,22.0,Southern Miss, ,,Mississippi State,17.0
304,10/07/1978,8.0,Air Force,-8.0,,Navy,37.0
305,10/07/1978,31.0,Maryland,7.0,,No Carolina State,7.0
306,10/07/1978,25.0,Michigan State,-6.5,,Notre Dame,29.0
307,10/07/1978,0.0,Iowa State,-5.5,,Nebraska,23.0
308,10/07/1978,17.0,Lamar, ,,UL-Monroe,17.0
309,10/07/1978,35.0,McNeese State, ,,Nicholls State,10.0
310,10/07/1978,24.0,Long Beach State, ,,Northern Illinois,19.0
311,10/07/1978,15.0,Wyoming, ,,New Mexico,19.0
312,10/07/1978,0.0,West Texas A+M, ,,North Texas,35.0
313,10/07/1978,23.0,Arkansas State, ,,Northwestern St(LA),14.0
314,10/07/1978,10.0,Texas,-8.0,,Oklahoma,31.0
315,10/07/1978,18.0,Kansas State,-3.5,,Oklahoma State,7.0
316,10/07/1978,21.0,California,20.5,,Oregon,18.0
317,10/07/1978,14.0,Minnesota,7.5,,Oregon State,17.0
318,10/07/1978,0.0,Kentucky,-7.5,,Penn State,30.0
319,10/07/1978,15.0,Boston College,-14.0,,Pittsburgh,32.0
320,10/07/1978,17.0,Villanova, ,,Richmond,14.0
321,10/07/1978,27.0,Yale,-3.5,,Rutgers,28.0
322,10/07/1978,6.0,Georgia Tech,-3.0,,South Carolina,3.0
323,10/07/1978,0.0,Illinois State, ,,Southern Illinois,26.0
324,10/07/1978,25.0,Hawaii, ,,San Jose State,11.0
325,10/07/1978,35.0,Ohio State,13.5,,S-M-U,35.0
326,10/07/1978,27.0,U.C.L.A.,6.5,,Stanford,26.0
