Date,Visitor,Visitor Score,Home Team,Home Score,Line
09/06/2014,Virginia Tech,35,Ohio State,21,10.5
09/06/2014,Oklahoma,52,Tulsa,7,-25.0
09/06/2014,Memphis,35,U.C.L.A.,42,21.5
09/06/2014,Air Force,13,Wyoming,17,-1.5
09/06/2014,Colorado State,24,Boise State,37,7.5
09/06/2014,Oregon State,38,Hawaii,30,-9.5
09/06/2014,Texas Tech,30,UTEP,26,-21.0
09/06/2014,Stony Brook,16,Connecticut,19,
09/06/2014,So Carolina State,7,Clemson,73,
09/06/2014,Eastern Washington,52,Washington,59,
09/06/2014,Sacramento State,14,California,55,
09/06/2014,Eastern Kentucky,17,Miami-Ohio,10,
09/06/2014,Richmond,13,Virginia,45,
09/06/2014,Missouri State,23,Oklahoma State,40,
09/06/2014,Towson,0,West Virginia,54,
09/06/2014,Virginia Military,7,Bowling Green,48,
09/06/2014,Nicholls State,7,Arkansas,73,
09/06/2014,Campbell,0,Appalachian State,66,
09/06/2014,Savannah State,9,Georgia Southern,83,
09/06/2014,Gardner-Webb,7,Wake Forest,23,
09/06/2014,Rhode Island,7,Marshall,48,
09/06/2014,Florida A+M,7,Miami-Florida,41,
09/06/2014,Murray State,21,Louisville,66,
09/06/2014,S E Missouri St,28,Kansas,34,
09/06/2014,Alcorn State,20,Southern Miss,26,
09/06/2014,The Citadel,12,Florida State,37,
09/06/2014,Lamar,3,Texas A+M,73,
09/06/2014,Northwestern St(LA),6,Baylor,70,
09/06/2014,Sam Houston State,0,Louisiana State,56,
09/06/2014,Grambling,0,Houston,47,
09/06/2014,Idaho State,20,Utah State,40,
09/06/2014,Western Illinois,3,Wisconsin,37,
09/06/2014,Howard,25,Rutgers,38,
09/06/2014,Northern Colorado,12,Nevada-Las Vegas,13,
09/06/2014,McNeese State,24,Nebraska,31,
09/06/2014,Wagner,3,Florida Intl,34,
09/11/2014,Louisiana Tech,,North Texas,,6.5
09/11/2014,Houston,,Brigham Young,,17.0
09/12/2014,Northern Illinois,,Nevada-Las Vegas,,-8.5
09/12/2014,Toledo,,Cincinnati,,
09/12/2014,Baylor,,Buffalo,,
09/13/2014,Indiana,,Bowling Green,,-6.0
09/13/2014,Ohio,,Marshall,,20.5
09/13/2014,U-C-F,,Missouri,,9.5
09/13/2014,No Carolina State,,South Florida,,-2.5
09/13/2014,Miami-Ohio,,Michigan,,30.0
09/13/2014,Kent State,,Ohio State,,29.5
09/13/2014,Eastern Michigan,,Old Dominion,,15.0
09/13/2014,East Carolina,,Virginia Tech,,10.0
09/13/2014,Syracuse,,Central Michigan,,-7.5
09/13/2014,Pittsburgh,,Florida Intl,,-25.5
09/13/2014,Boise State,,Connecticut,,
09/13/2014,Georgia Southern,,Georgia Tech,,22.0
09/13/2014,Iowa State,,Iowa,,13.5
09/13/2014,West Virginia,,Maryland,,3.0
09/13/2014,Massachusetts,,Vanderbilt,,17.0
09/13/2014,Louisville,,Virginia,,-6.5
09/13/2014,Wyoming,,Oregon,,43.5
09/13/2014,Air Force,,Georgia State,,-12.0
09/13/2014,Western Kentucky,,Middle Tennessee,,1.0
09/13/2014,Kansas,,Duke,,17.0
09/13/2014,Georgia,,South Carolina,,-5.5
09/13/2014,Arkansas,,Texas Tech,,3.0
09/13/2014,Arkansas State,,Miami-Florida,,16.0
09/13/2014,Mississippi State,,South Alabama,,-15.5
09/13/2014,UL-Lafayette,,Mississippi,,26.0
09/13/2014,Illinois,,Washington,,14.5
09/13/2014,Minnesota,,Texas Christian,,9.5
09/13/2014,Western Michigan,,Idaho,,2.5
09/13/2014,Army,,Stanford,,29.5
09/13/2014,Southern Miss,,Alabama,,47.0
09/13/2014,Wake Forest,,Utah State,,14.0
09/13/2014,Tulsa,,Florida Atlantic,,-1.5
09/13/2014,Texas-San Antonio,,Oklahoma State,,
09/13/2014,UL-Monroe,,Louisiana State,,31.0
09/13/2014,Purdue,,Notre Dame,,28.0
09/13/2014,Kentucky,,Florida,,17.5
09/13/2014,Navy,,Texas State,,-12.5
09/13/2014,Tennessee,,Oklahoma,,21.0
09/13/2014,New Mexico State,,UTEP,,10.5
09/13/2014,U.C.L.A.,,Texas,,-7.0
09/13/2014,Penn State,,Rutgers,,-3.5
09/13/2014,Southern Cal,,Boston College,,-19.5
09/13/2014,Rice,,Texas A+M,,31.0
09/13/2014,Arizona State,,Colorado,,-14.5
09/13/2014,Nebraska,,Fresno State,,-10.0
09/13/2014,Nevada-Reno,,Arizona,,14.5
09/13/2014,Alabama A+M,,U-A-B,,
09/13/2014,Indiana State,,Ball State,,
09/13/2014,Abilene Christian,,Troy,,
09/13/2014,Portland State,,Washington State,,
09/13/2014,S E Louisiana,,Tulane,,
09/13/2014,UC-Davis,,Colorado State,,
09/13/2014,Northern Iowa,,Hawaii,,
09/18/2014,Auburn,,Kansas State,,
09/19/2014,Connecticut,,South Florida,,
09/20/2014,Indiana,,Missouri,,
09/20/2014,Massachusetts,,Penn State,,
09/20/2014,Marshall,,Akron,,
09/20/2014,Iowa,,Pittsburgh,,
09/20/2014,Ball State,,Toledo,,
09/20/2014,Maryland,,Syracuse,,
09/20/2014,Idaho,,Ohio,,
09/20/2014,Central Michigan,,Kansas,,
09/20/2014,Troy,,Georgia,,
09/20/2014,Bowling Green,,Wisconsin,,
09/20/2014,Tulane,,Duke,,
09/20/2014,Army,,Wake Forest,,
09/20/2014,North Carolina,,East Carolina,,
09/20/2014,San Jose State,,Minnesota,,
09/20/2014,Utah,,Michigan,,
09/20/2014,Eastern Michigan,,Michigan State,,
09/20/2014,South Carolina,,Vanderbilt,,
09/20/2014,Florida Atlantic,,Wyoming,,
09/20/2014,Hawaii,,Colorado,,
09/20/2014,Middle Tennessee,,Memphis,,
09/20/2014,Georgia State,,Washington,,
09/20/2014,Appalachian State,,Southern Miss,,
09/20/2014,Georgia Southern,,South Alabama,,
09/20/2014,Texas A+M,,S-M-U,,
09/20/2014,Rutgers,,Navy,,
09/20/2014,Florida,,Alabama,,
09/20/2014,Georgia Tech,,Virginia Tech,,
09/20/2014,Oregon,,Washington State,,
09/20/2014,Clemson,,Florida State,,
09/20/2014,Virginia,,Brigham Young,,
09/20/2014,Texas State,,Illinois,,
09/20/2014,Old Dominion,,Rice,,
09/20/2014,Louisville,,Florida Intl,,
09/20/2014,Miami-Ohio,,Cincinnati,,
09/20/2014,San Diego State,,Oregon State,,
09/20/2014,Mississippi State,,Louisiana State,,
09/20/2014,Northern Illinois,,Arkansas,,
09/20/2014,Utah State,,Arkansas State,,
09/20/2014,New Mexico,,New Mexico State,,
09/20/2014,Miami-Florida,,Nebraska,,
09/20/2014,Oklahoma,,West Virginia,,
09/20/2014,California,,Arizona,,
09/20/2014,UL-Lafayette,,Boise State,,
09/20/2014,Western Illinois,,Northwestern,,
09/20/2014,Delaware State,,Temple,,
09/20/2014,Presbyterian,,No Carolina State,,
09/20/2014,Murray State,,Western Michigan,,
09/20/2014,Bethune-Cookman,,U-C-F,,
09/20/2014,Northwestern St(LA),,Louisiana Tech,,
09/20/2014,Southern Illinois,,Purdue,,
09/20/2014,Maine,,Boston College,,
09/20/2014,Nicholls State,,North Texas,,
09/20/2014,Norfolk State,,Buffalo,,
09/20/2014,Southern Utah,,Fresno State,,
09/25/2014,Appalachian State,,Georgia Southern,,
09/25/2014,Texas Tech,,Oklahoma State,,
09/25/2014,U.C.L.A.,,Arizona State,,
09/26/2014,Middle Tennessee,,Old Dominion,,
09/26/2014,Fresno State,,New Mexico,,
09/27/2014,Wyoming,,Michigan State,,
09/27/2014,Minnesota,,Michigan,,
09/27/2014,Maryland,,Indiana,,
09/27/2014,Baylor,,Iowa State,,
09/27/2014,South Florida,,Wisconsin,,
09/27/2014,Kent State,,Virginia,,
09/27/2014,Western Michigan,,Virginia Tech,,
09/27/2014,Temple,,Connecticut,,
09/27/2014,Akron,,Pittsburgh,,
09/27/2014,Iowa,,Purdue,,
09/27/2014,Tulane,,Rutgers,,
09/27/2014,Northwestern,,Penn State,,
09/27/2014,Central Michigan,,Toledo,,
09/27/2014,Vanderbilt,,Kentucky,,
09/27/2014,Wake Forest,,Louisville,,
09/27/2014,Colorado State,,Boston College,,
09/27/2014,Miami-Ohio,,Buffalo,,
09/27/2014,Texas State,,Tulsa,,
09/27/2014,UTEP,,Kansas State,,
09/27/2014,Louisiana Tech,,Auburn,,
09/27/2014,Bowling Green,,Massachusetts,,
09/27/2014,Colorado,,California,,
09/27/2014,Texas Christian,,S-M-U,,
09/27/2014,Rice,,Southern Miss,,
09/27/2014,Missouri,,South Carolina,,
09/27/2014,Western Kentucky,,Navy,,
09/27/2014,Notre Dame,,Syracuse,,
09/27/2014,Arkansas,,Texas A+M,,
09/27/2014,Oregon State,,Southern Cal,,
09/27/2014,North Carolina,,Clemson,,
09/27/2014,Stanford,,Washington,,
09/27/2014,Texas,,Kansas,,
09/27/2014,Tennessee,,Georgia,,
09/27/2014,Duke,,Miami-Florida,,
09/27/2014,Florida State,,No Carolina State,,
09/27/2014,South Alabama,,Idaho,,
09/27/2014,Cincinnati,,Ohio State,,
09/27/2014,Florida Intl,,U-A-B,,
09/27/2014,Memphis,,Mississippi,,
09/27/2014,Texas-San Antonio,,Florida Atlantic,,
09/27/2014,Troy,,UL-Monroe,,
09/27/2014,Washington State,,Utah,,
09/27/2014,Boise State,,Air Force,,
09/27/2014,New Mexico State,,Louisiana State,,
09/27/2014,Illinois,,Nebraska,,
09/27/2014,Nevada-Las Vegas,,San Diego State,,
09/27/2014,Nevada-Reno,,San Jose State,,
09/27/2014,Army,,Yale,,
09/27/2014,Eastern Illinois,,Ohio,,
10/02/2014,Florida Atlantic,,Florida Intl,,
10/02/2014,U-C-F,,Houston,,
10/02/2014,Arizona,,Oregon,,
10/03/2014,Louisville,,Syracuse,,
10/03/2014,San Diego State,,Fresno State,,
10/03/2014,Utah State,,Brigham Young,,
10/04/2014,Vanderbilt,,Georgia,,
10/04/2014,Wake Forest,,Florida State,,
10/04/2014,Miami-Florida,,Georgia Tech,,
10/04/2014,North Texas,,Indiana,,
10/04/2014,Purdue,,Illinois,,
10/04/2014,Ohio State,,Maryland,,
10/04/2014,S-M-U,,East Carolina,,
10/04/2014,Memphis,,Cincinnati,,
10/04/2014,Pittsburgh,,Virginia,,
10/04/2014,Ohio,,Central Michigan,,
10/04/2014,Kansas,,West Virginia,,
10/04/2014,Toledo,,Western Michigan,,
10/04/2014,Marshall,,Old Dominion,,
10/04/2014,Virginia Tech,,North Carolina,,
10/04/2014,Kent State,,Northern Illinois,,
10/04/2014,Wisconsin,,Northwestern,,
10/04/2014,Massachusetts,,Miami-Ohio,,
10/04/2014,South Alabama,,Appalachian State,,
10/04/2014,South Carolina,,Kentucky,,
10/04/2014,Ball State,,Army,,
10/04/2014,Buffalo,,Bowling Green,,
10/04/2014,Eastern Michigan,,Akron,,
10/04/2014,Texas Tech,,Kansas State,,
10/04/2014,Hawaii,,Rice,,
10/04/2014,Tulsa,,Colorado State,,
10/04/2014,Georgia State,,UL-Lafayette,,
10/04/2014,Stanford,,Notre Dame,,
10/04/2014,Arizona State,,Southern Cal,,
10/04/2014,Louisiana State,,Auburn,,
10/04/2014,Navy,,Air Force,,
10/04/2014,Oklahoma,,Texas Christian,,
10/04/2014,Florida,,Tennessee,,
10/04/2014,Baylor,,Texas,,
10/04/2014,Iowa State,,Oklahoma State,,
10/04/2014,Alabama,,Mississippi,,
10/04/2014,Texas A+M,,Mississippi State,,
10/04/2014,Utah,,U.C.L.A.,,
10/04/2014,UTEP,,Louisiana Tech,,
10/04/2014,Southern Miss,,Middle Tennessee,,
10/04/2014,Oregon State,,Colorado,,
10/04/2014,California,,Washington State,,
10/04/2014,Idaho,,Texas State,,
10/04/2014,Michigan,,Rutgers,,
10/04/2014,New Mexico,,Texas-San Antonio,,
10/04/2014,UL-Monroe,,Arkansas State,,
10/04/2014,No Carolina State,,Clemson,,
10/04/2014,U-A-B,,Western Kentucky,,
10/04/2014,Nebraska,,Michigan State,,
10/04/2014,Georgia Southern,,New Mexico State,,
10/04/2014,Nevada-Las Vegas,,San Jose State,,
10/04/2014,Boise State,,Nevada-Reno,,
10/09/2014,Brigham Young,,U-C-F,,
10/10/2014,Washington State,,Stanford,,
10/10/2014,San Diego State,,New Mexico,,
10/10/2014,Fresno State,,Nevada-Las Vegas,,
10/11/2014,Texas,,Oklahoma,,
10/11/2014,Michigan State,,Purdue,,
10/11/2014,Northwestern,,Minnesota,,
10/11/2014,Rice,,Army,,
10/11/2014,Tulsa,,Temple,,
10/11/2014,Middle Tennessee,,Marshall,,
10/11/2014,Massachusetts,,Kent State,,
10/11/2014,Florida State,,Syracuse,,
10/11/2014,Duke,,Georgia Tech,,
10/11/2014,Illinois,,Wisconsin,,
10/11/2014,Boston College,,No Carolina State,,
10/11/2014,Cincinnati,,Miami-Florida,,
10/11/2014,Buffalo,,Eastern Michigan,,
10/11/2014,Miami-Ohio,,Akron,,
10/11/2014,Indiana,,Iowa,,
10/11/2014,Bowling Green,,Ohio,,
10/11/2014,West Virginia,,Texas Tech,,
10/11/2014,Oklahoma State,,Kansas,,
10/11/2014,Texas Christian,,Baylor,,
10/11/2014,Houston,,Memphis,,
10/11/2014,North Texas,,U-A-B,,
10/11/2014,Auburn,,Mississippi State,,
10/11/2014,Western Michigan,,Ball State,,
10/11/2014,New Mexico State,,Troy,,
10/11/2014,Alabama,,Arkansas,,
10/11/2014,Louisiana State,,Florida,,
10/11/2014,Toledo,,Iowa State,,
10/11/2014,Oregon,,U.C.L.A.,,
10/11/2014,Southern Cal,,Arizona,,
10/11/2014,Washington,,California,,
10/11/2014,Georgia,,Missouri,,
10/11/2014,Louisville,,Clemson,,
10/11/2014,North Carolina,,Notre Dame,,
10/11/2014,Central Michigan,,Northern Illinois,,
10/11/2014,Idaho,,Georgia Southern,,
10/11/2014,Arkansas State,,Georgia State,,
10/11/2014,Florida Intl,,Texas-San Antonio,,
10/11/2014,UL-Monroe,,Kentucky,,
10/11/2014,Mississippi,,Texas A+M,,
10/11/2014,Air Force,,Utah State,,
10/11/2014,East Carolina,,South Florida,,
10/11/2014,Penn State,,Michigan,,
10/11/2014,Old Dominion,,UTEP,,
10/11/2014,Connecticut,,Tulane,,
10/11/2014,Colorado State,,Nevada-Reno,,
10/11/2014,Wyoming,,Hawaii,,
10/11/2014,Charleston Southern,,Vanderbilt,,
10/11/2014,Virginia Military,,Navy,,
10/11/2014,Liberty,,Appalachian State,,
10/11/2014,Chattanooga,,Tennessee,,
10/14/2014,UL-Lafayette,,Texas State,,
10/16/2014,Virginia Tech,,Pittsburgh,,
10/16/2014,Utah,,Oregon State,,
10/17/2014,Fresno State,,Boise State,,
10/17/2014,Temple,,Houston,,
10/18/2014,Marshall,,Florida Intl,,
10/18/2014,Syracuse,,Wake Forest,,
10/18/2014,Miami-Ohio,,Northern Illinois,,
10/18/2014,Akron,,Ohio,,
10/18/2014,Purdue,,Minnesota,,
10/18/2014,Iowa,,Maryland,,
10/18/2014,Baylor,,West Virginia,,
10/18/2014,Virginia,,Duke,,
10/18/2014,Georgia Tech,,North Carolina,,
10/18/2014,No Carolina State,,Louisville,,
10/18/2014,Eastern Michigan,,Massachusetts,,
10/18/2014,Western Michigan,,Bowling Green,,
10/18/2014,Ball State,,Central Michigan,,
10/18/2014,Georgia,,Arkansas,,
10/18/2014,San Jose State,,Wyoming,,
10/18/2014,New Mexico,,Air Force,,
10/18/2014,South Florida,,Tulsa,,
10/18/2014,Texas-San Antonio,,Louisiana Tech,,
10/18/2014,Southern Miss,,North Texas,,
10/18/2014,Cincinnati,,S-M-U,,
10/18/2014,Appalachian State,,Troy,,
10/18/2014,Nevada-Reno,,Brigham Young,,
10/18/2014,Army,,Kent State,,
10/18/2014,Stanford,,Arizona State,,
10/18/2014,Washington,,Oregon,,
10/18/2014,U.C.L.A.,,California,,
10/18/2014,U-A-B,,Middle Tennessee,,
10/18/2014,Rutgers,,Ohio State,,
10/18/2014,Texas A+M,,Alabama,,
10/18/2014,Colorado,,Southern Cal,,
10/18/2014,Michigan State,,Indiana,,
10/18/2014,Clemson,,Boston College,,
10/18/2014,Kansas State,,Oklahoma,,
10/18/2014,New Mexico State,,Idaho,,
10/18/2014,Georgia State,,South Alabama,,
10/18/2014,Western Kentucky,,Florida Atlantic,,
10/18/2014,Utah State,,Colorado State,,
10/18/2014,Tennessee,,Mississippi,,
10/18/2014,Iowa State,,Texas,,
10/18/2014,Missouri,,Florida,,
10/18/2014,Kansas,,Texas Tech,,
10/18/2014,Oklahoma State,,Texas Christian,,
10/18/2014,Tulane,,U-C-F,,
10/18/2014,Nebraska,,Northwestern,,
10/18/2014,Kentucky,,Louisiana State,,
10/18/2014,Notre Dame,,Florida State,,
10/18/2014,Hawaii,,San Diego State,,
10/18/2014,Furman,,South Carolina,,
10/21/2014,Arkansas State,,UL-Lafayette,,
10/23/2014,Connecticut,,East Carolina,,
10/23/2014,Miami-Florida,,Virginia Tech,,
10/24/2014,Troy,,South Alabama,,
10/24/2014,South Florida,,Cincinnati,,
10/24/2014,Brigham Young,,Boise State,,
10/24/2014,Oregon,,California,,
10/25/2014,South Carolina,,Auburn,,
10/25/2014,Northern Illinois,,Eastern Michigan,,
10/25/2014,Mississippi State,,Kentucky,,
10/25/2014,Syracuse,,Clemson,,
10/25/2014,Minnesota,,Illinois,,
10/25/2014,Akron,,Ball State,,
10/25/2014,Central Michigan,,Buffalo,,
10/25/2014,Ohio,,Western Michigan,,
10/25/2014,Boston College,,Wake Forest,,
10/25/2014,Temple,,U-C-F,,
10/25/2014,North Carolina,,Virginia,,
10/25/2014,Georgia Tech,,Pittsburgh,,
10/25/2014,Maryland,,Wisconsin,,
10/25/2014,Vanderbilt,,Missouri,,
10/25/2014,San Jose State,,Navy,,
10/25/2014,Nevada-Las Vegas,,Utah State,,
10/25/2014,Massachusetts,,Toledo,,
10/25/2014,U.C.L.A.,,Colorado,,
10/25/2014,Rutgers,,Nebraska,,
10/25/2014,Kent State,,Miami-Ohio,,
10/25/2014,U-A-B,,Arkansas,,
10/25/2014,Texas Tech,,Texas Christian,,
10/25/2014,Memphis,,S-M-U,,
10/25/2014,Oregon State,,Stanford,,
10/25/2014,Alabama,,Tennessee,,
10/25/2014,Michigan,,Michigan State,,
10/25/2014,Wyoming,,Colorado State,,
10/25/2014,Mississippi,,Louisiana State,,
10/25/2014,Arizona,,Washington State,,
10/25/2014,Southern Cal,,Utah,,
10/25/2014,Georgia Southern,,Georgia State,,
10/25/2014,North Texas,,Rice,,
10/25/2014,Louisiana Tech,,Southern Miss,,
10/25/2014,UTEP,,Texas-San Antonio,,
10/25/2014,Florida Atlantic,,Marshall,,
10/25/2014,Texas State,,UL-Monroe,,
10/25/2014,Old Dominion,,Western Kentucky,,
10/25/2014,West Virginia,,Oklahoma State,,
10/25/2014,Texas,,Kansas State,,
10/25/2014,Ohio State,,Penn State,,
10/25/2014,Arizona State,,Washington,,
10/25/2014,Nevada-Reno,,Hawaii,,
10/30/2014,Troy,,Georgia Southern,,
10/30/2014,Florida State,,Louisville,,
10/31/2014,Tulsa,,Memphis,,
10/31/2014,Cincinnati,,Tulane,,
11/01/2014,Notre Dame,,Navy,,
11/01/2014,Boston College,,Virginia Tech,,
11/01/2014,East Carolina,,Temple,,
11/01/2014,U-C-F,,Connecticut,,
11/01/2014,Wisconsin,,Rutgers,,
11/01/2014,No Carolina State,,Syracuse,,
11/01/2014,Duke,,Pittsburgh,,
11/01/2014,Maryland,,Penn State,,
11/01/2014,North Carolina,,Miami-Florida,,
11/01/2014,Georgia State,,Appalachian State,,
11/01/2014,Air Force,,Army,,
11/01/2014,Central Michigan,,Eastern Michigan,,
11/01/2014,Northwestern,,Iowa,,
11/01/2014,Texas,,Texas Tech,,
11/01/2014,Purdue,,Nebraska,,
11/01/2014,Kansas,,Baylor,,
11/01/2014,Western Michigan,,Miami-Ohio,,
11/01/2014,Auburn,,Mississippi,,
11/01/2014,Kentucky,,Missouri,,
11/01/2014,Arkansas,,Mississippi State,,
11/01/2014,Western Kentucky,,Louisiana Tech,,
11/01/2014,UL-Monroe,,Texas A+M,,
11/01/2014,Brigham Young,,Middle Tennessee,,
11/01/2014,Tennessee,,South Carolina,,
11/01/2014,Florida,,Georgia,,
11/01/2014,Southern Cal,,Washington State,,
11/01/2014,Stanford,,Oregon,,
11/01/2014,Oklahoma,,Iowa State,,
11/01/2014,Oklahoma State,,Kansas State,,
11/01/2014,Indiana,,Michigan,,
11/01/2014,Virginia,,Georgia Tech,,
11/01/2014,Arkansas State,,Idaho,,
11/01/2014,South Alabama,,UL-Lafayette,,
11/01/2014,Old Dominion,,Vanderbilt,,
11/01/2014,Rice,,Florida Intl,,
11/01/2014,Washington,,Colorado,,
11/01/2014,California,,Oregon State,,
11/01/2014,Arizona,,U.C.L.A.,,
11/01/2014,Colorado State,,San Jose State,,
11/01/2014,Utah,,Arizona State,,
11/01/2014,Texas Christian,,West Virginia,,
11/01/2014,Houston,,South Florida,,
11/01/2014,U-A-B,,Florida Atlantic,,
11/01/2014,Southern Miss,,UTEP,,
11/01/2014,New Mexico,,Nevada-Las Vegas,,
11/01/2014,Texas State,,New Mexico State,,
11/01/2014,Illinois,,Ohio State,,
11/01/2014,Wyoming,,Fresno State,,
