,Bowl Name,Date,Home Score,Home Team,Line,Visitor,Visitor Score
191,Sun Bowl,12/30/1989,28,Texas A+M,6.0,Pittsburgh,31
192,Copper Bowl,12/31/1989,17,Arizona,6.5,No Carolina State,10
193,Sugar Bowl,01/01/1990,33,Miami-Florida,9.0,Alabama,25
194,Cotton Bowl,01/01/1990,31,Tennessee,-2.0,Arkansas,27
195,Hall of Fame Bowl,01/01/1990,14,Ohio State,-8.0,Auburn,31
196,Orange Bowl,01/01/1990,21,Notre Dame,2.0,Colorado,6
197,Fiesta Bowl,01/01/1990,17,Nebraska,-3.5,Florida State,41
198,Citrus Bowl,01/01/1990,21,Virginia,-3.0,Illinois,31
199,Rose Bowl,01/01/1990,17,Southern Cal,1.5,Michigan,10
200,California Bowl,12/08/1990,48,San Jose State, ,Central Michigan,24
201,Independence Bowl,12/15/1990,34,Maryland, ,Louisiana Tech,34
202,Aloha Bowl,12/25/1990,28,Syracuse,3.0,Arizona,0
203,Liberty Bowl,12/27/1990,11,Ohio State,17.0,Air Force,23
204,Blockbuster Bowl,12/28/1990,17,Penn State,-6.5,Florida State,24
205,All-American Bowl,12/28/1990,27,Southern Miss,1.0,No Carolina State,31
206,Peach Bowl,12/29/1990,23,Indiana,-9.0,Auburn,27
207,Holiday Bowl,12/29/1990,65,Texas A+M,-4.0,Brigham Young,14
208,Freedom Bowl,12/29/1990,31,Oregon,8.5,Colorado State,32
209,Copper Bowl,12/31/1990,15,Wyoming,-7.5,California,17
210,Sun Bowl,12/31/1990,16,Southern Cal,1.0,Michigan State,17
211,Fiesta Bowl,01/01/1991,34,Louisville,-8.5,Alabama,7
212,Hall of Fame Bowl,01/01/1991,0,Illinois,-3.0,Clemson,30
213,Orange Bowl,01/01/1991,9,Notre Dame,1.0,Colorado,10
214,Citrus Bowl,01/01/1991,21,Nebraska,2.5,Georgia Tech,45
215,Rose Bowl,01/01/1991,46,Washington,10.0,Iowa,34
216,Cotton Bowl,01/01/1991,3,Texas,-6.0,Miami-Florida,46
217,Gator Bowl,01/01/1991,3,Mississippi,-11.5,Michigan,35
218,Sugar Bowl,01/01/1991,22,Virginia,-5.0,Tennessee,23
219,California Bowl,12/14/1991,21,Fresno State,15.0,Bowling Green,28
220,Aloha Bowl,12/25/1991,17,Stanford,3.5,Georgia Tech,18
221,Blockbuster Bowl,12/28/1991,25,Colorado,0.0,Alabama,30
222,Liberty Bowl,12/29/1991,15,Mississippi State,10.0,Air Force,38
223,Independence Bowl,12/29/1991,24,Georgia,8.0,Arkansas,15
224,Gator Bowl,12/29/1991,14,Virginia,1.5,Oklahoma,48
225,Holiday Bowl,12/30/1991,13,Iowa,4.0,Brigham Young,13
226,Freedom Bowl,12/30/1991,28,Tulsa,-1.0,San Diego State,17
227,Copper Bowl,12/31/1991,24,Indiana,-3.5,Baylor,0
228,Sun Bowl,12/31/1991,6,U.C.L.A.,7.0,Illinois,3
229,Citrus Bowl,01/01/1992,13,Clemson,-1.5,California,37
230,Peach Bowl,01/01/1992,34,No Carolina State,-2.0,East Carolina,37
231,Sugar Bowl,01/01/1992,39,Notre Dame,-6.0,Florida,28
232,Cotton Bowl,01/01/1992,2,Texas A+M,-7.0,Florida State,10
233,Rose Bowl,01/01/1992,34,Washington,7.0,Michigan,14
234,Orange Bowl,01/01/1992,22,Miami-Florida,10.0,Nebraska,0
235,Hall of Fame Bowl,01/01/1992,24,Syracuse,3.0,Ohio State,17
236,Fiesta Bowl,01/01/1992,17,Tennessee,-3.5,Penn State,42
237,Aloha Bowl,12/25/1992,23,Kansas,-2.0,Brigham Young,20
238,Freedom Bowl,12/29/1992,7,Southern Cal,8.0,Fresno State,24
239,Copper Bowl,12/29/1992,31,Washington State,9.0,Utah,28
240,Holiday Bowl,12/30/1992,17,Illinois,1.0,Hawaii,27
241,Liberty Bowl,12/31/1992,13,Mississippi,9.0,Air Force,0
242,Sun Bowl,12/31/1992,20,Baylor,-6.5,Arizona,15
