,Bowl Name,Date,Home Score,Home Team,Line,Visitor,Visitor Score
364,Citrus Bowl,01/01/1999,31,Arkansas,-3.0,Michigan,45
365,Cotton Bowl,01/01/1999,11,Mississippi State,-6.5,Texas,38
366,Rose Bowl,01/01/1999,38,Wisconsin,-9.5,U.C.L.A.,31
367,Sugar Bowl,01/01/1999,14,Texas A+M,-12.5,Ohio State,24
368,Orange Bowl,01/02/1999,31,Florida,7.5,Syracuse,10
369,Fiesta Bowl,01/04/1999,23,Tennessee,-5.0,Florida State,16
370,Las Vegas Bowl,12/18/1999,16,Fresno State,-7.0,Utah,17
371,Mobile Alabama Bowl,12/22/1999,14,East Carolina,5.0,Texas Christian,28
372,Aloha Bowl,12/25/1999,3,Arizona State,3.5,Wake Forest,23
373,Oahu Bowl,12/25/1999,23,Hawaii,-8.5,Oregon State,17
374,Motor City Bowl,12/27/1999,21,Marshall,2.5,Brigham Young,3
375,Alamo Bowl,12/28/1999,24,Penn State,6.0,Texas A+M,0
376,Music City Bowl,12/29/1999,13,Kentucky,2.5,Syracuse,20
377,Holiday Bowl,12/29/1999,20,Washington,-11.0,Kansas State,24
378,Humanitarian Bowl,12/30/1999,34,Boise State,-4.0,Louisville,31
379,Micron PC Bowl,12/30/1999,21,Virginia,2.5,Illinois,63
380,Peach Bowl,12/30/1999,7,Clemson,2.5,Mississippi State,17
381,Insight Bowl,12/31/1999,28,Boston College,-8.0,Colorado,62
382,Sun Bowl,12/31/1999,24,Oregon,-2.0,Minnesota,20
383,Liberty Bowl,12/31/1999,23,Southern Miss,6.5,Colorado State,17
384,Independence Bowl,12/31/1999,25,Oklahoma,3.5,Mississippi,27
385,Cotton Bowl,01/01/2000,6,Texas,7.0,Arkansas,27
386,Outback Bowl,01/01/2000,25,Purdue,5.0,Georgia,28
387,Gator Bowl,01/01/2000,28,Miami-Florida,5.0,Georgia Tech,13
388,Citrus Bowl,01/01/2000,34,Florida,1.0,Michigan State,37
389,Rose Bowl,01/01/2000,9,Stanford,-11.0,Wisconsin,17
390,Orange Bowl,01/01/2000,34,Alabama,2.0,Michigan,35
391,Fiesta Bowl,01/02/2000,31,Nebraska,4.0,Tennessee,21
392,Sugar Bowl,01/04/2000,46,Florida State,6.5,Virginia Tech,29
393,Mobile Alabama Bowl,12/20/2000,21,Texas Christian,7.0,Southern Miss,28
394,Las Vegas Bowl,12/21/2000,31,Nevada-Las Vegas,1.0,Arkansas,14
395,Oahu Bowl,12/24/2000,37,Georgia,9.5,Virginia,14
396,Aloha Bowl,12/25/2000,17,Arizona State,3.5,Boston College,31
397,Motor City Bowl,12/27/2000,25,Marshall,-3.5,Cincinnati,14
398,Gallery Furniture Bowl,12/27/2000,40,East Carolina,-1.0,Texas Tech,27
399,Humanitarian Bowl,12/28/2000,38,Boise State,7.0,UTEP,23
400,Music City Bowl,12/28/2000,38,Mississippi,4.0,West Virginia,49
401,Micron PC Bowl,12/28/2000,38,No Carolina State,-3.5,Minnesota,30
402,Insight Bowl,12/28/2000,37,Iowa State,0.0,Pittsburgh,29
403,Liberty Bowl,12/29/2000,17,Louisville,-1.5,Colorado State,22
404,Sun Bowl,12/29/2000,20,U.C.L.A.,-4.5,Wisconsin,21
405,Peach Bowl,12/29/2000,14,Georgia Tech,8.5,Louisiana State,28
406,Holiday Bowl,12/29/2000,35,Oregon,-7.0,Texas,30
407,Alamo Bowl,12/30/2000,66,Nebraska,14.5,Northwestern,17
408,Silicon Valley Bowl,12/31/2000,34,Fresno State,1.0,Air Force,37
409,Independence Bowl,12/31/2000,43,Mississippi State,-1.0,Texas A+M,41
410,Outback Bowl,01/01/2001,24,South Carolina,-6.5,Ohio State,7
411,Cotton Bowl,01/01/2001,35,Kansas State,3.5,Tennessee,21
412,Gator Bowl,01/01/2001,20,Clemson,-6.5,Virginia Tech,41
413,Citrus Bowl,01/01/2001,28,Auburn,-8.0,Michigan,31
414,Rose Bowl,01/01/2001,34,Washington,-1.0,Purdue,24
415,Fiesta Bowl,01/01/2001,41,Oregon State,3.0,Notre Dame,9
416,Sugar Bowl,01/02/2001,20,Florida,-6.0,Miami-Florida,37
417,Orange Bowl,01/03/2001,13,Oklahoma,-11.5,Florida State,2
418,New Orleans Bowl,12/18/2001,45,Colorado State,12.5,North Texas,20
419,GMAC Bowl,12/19/2001,61,East Carolina,1.0,Marshall,64
420,Tangerine Bowl,12/20/2001,19,No Carolina State,0.0,Pittsburgh,34
421,Las Vegas Bowl,12/25/2001,10,Utah,-3.5,Southern Cal,6
422,Seattle Bowl,12/27/2001,14,Stanford,4.5,Georgia Tech,24
423,Independence Bowl,12/27/2001,14,Alabama,6.5,Iowa State,13
424,GalleryFurniture.com Bowl,12/28/2001,9,Texas Christian,-6.5,Texas A+M,28
425,Music City Bowl,12/28/2001,16,Georgia,4.5,Boston College,20
426,Holiday Bowl,12/28/2001,43,Washington,-12.5,Texas,47
427,Motor City Bowl,12/29/2001,16,Cincinnati,-3.5,Toledo,23
428,Alamo Bowl,12/29/2001,16,Texas Tech,1.0,Iowa,19
429,Insight.com Bowl,12/29/2001,3,Kansas State,5.5,Syracuse,26
430,Humanitarian Bowl,12/31/2001,24,Louisiana Tech,-6.5,Clemson,49
431,Sun Bowl,12/31/2001,33,Washington State,8.0,Purdue,27
432,Silicon Valley Bowl,12/31/2001,35,Fresno State,5.5,Michigan State,44
433,Liberty Bowl,12/31/2001,10,Brigham Young,-3.0,Louisville,28
434,Peach Bowl,12/31/2001,10,Auburn,-2.5,North Carolina,16
435,Cotton Bowl,01/01/2002,10,Oklahoma,13.5,Arkansas,3
436,Outback Bowl,01/01/2002,28,Ohio State,-1.5,South Carolina,31
437,Gator Bowl,01/01/2002,17,Virginia Tech,2.0,Florida State,30
438,Citrus Bowl,01/01/2002,17,Michigan,-4.0,Tennessee,45
439,Fiesta Bowl,01/01/2002,16,Colorado,3.0,Oregon,38
440,Sugar Bowl,01/01/2002,47,Louisiana State,2.5,Illinois,34
441,Orange Bowl,01/02/2002,23,Maryland,-14.0,Florida,56
442,Rose Bowl,01/03/2002,37,Miami-Florida,8.0,Nebraska,14
443,New Orleans Bowl,12/17/2002,24,North Texas,-7.5,Cincinnati,19
444,GMAC Bowl,12/18/2002,15,Louisville,-3.0,Marshall,38
445,Tangerine Bowl,12/23/2002,15,Clemson,-4.5,Texas Tech,55
446,Las Vegas Bowl,12/25/2002,27,U.C.L.A.,9.5,New Mexico,13
447,Hawaii Bowl,12/25/2002,28,Hawaii,13.5,Tulane,36
448,Motor City Bowl,12/26/2002,25,Toledo,-4.0,Boston College,51
449,Insight Bowl,12/26/2002,13,Oregon State,2.0,Pittsburgh,38
450,Houston Bowl,12/27/2002,33,Oklahoma State,9.5,Southern Miss,23
451,Independence Bowl,12/27/2002,27,Mississippi,-6.5,Nebraska,23
452,Holiday Bowl,12/27/2002,27,Arizona State,-17.0,Kansas State,34
453,Continental Tire Bowl,12/28/2002,48,Virginia,-5.5,West Virginia,22
454,Alamo Bowl,12/28/2002,28,Colorado,7.0,Wisconsin,31
455,Music City Bowl,12/30/2002,14,Arkansas,8.5,Minnesota,29
456,Seattle Bowl,12/30/2002,17,Oregon,8.0,Wake Forest,38
457,Humanitarian Bowl,12/31/2002,34,Boise State,12.0,Iowa State,16
458,Sun Bowl,12/31/2002,24,Washington,2.0,Purdue,34
459,Liberty Bowl,12/31/2002,17,Texas Christian,-3.0,Colorado State,3
460,Silicon Valley Bowl,12/31/2002,30,Fresno State,-6.5,Georgia Tech,21
461,Peach Bowl,12/31/2002,30,Maryland,0.0,Tennessee,3
462,San Francisco Bowl,12/31/2002,13,Air Force,-11.0,Virginia Tech,20
463,Cotton Bowl,01/01/2003,35,Texas,10.5,Louisiana State,20
464,Outback Bowl,01/01/2003,30,Florida,0.0,Michigan,38
465,Gator Bowl,01/01/2003,28,No Carolina State,0.0,Notre Dame,6
466,Capital One Bowl,01/01/2003,13,Auburn,-7.5,Penn State,9
467,Rose Bowl,01/01/2003,14,Washington State,-5.0,Oklahoma,34
468,Sugar Bowl,01/01/2003,26,Georgia,7.0,Florida State,13
469,Orange Bowl,01/02/2003,38,Southern Cal,4.5,Iowa,17
470,Fiesta Bowl,01/03/2003,24,Miami-Florida,11.0,Ohio State,31
471,New Orleans Bowl,12/16/2003,27,Memphis,4.0,North Texas,17
472,GMAC Bowl,12/18/2003,28,Louisville,-14.0,Miami-Ohio,49
473,Tangerine Bowl,12/22/2003,26,Kansas,-11.0,No Carolina State,56
474,Fort Worth Bowl,12/23/2003,34,Boise State,11.5,Texas Christian,31
475,Las Vegas Bowl,12/24/2003,55,Oregon State,2.5,New Mexico,14
476,Hawaii Bowl,12/25/2003,54,Hawaii,10.5,Houston,48
477,Motor City Bowl,12/26/2003,24,Northwestern,-6.0,Bowling Green,28
478,Insight Bowl,12/26/2003,52,California,-3.0,Virginia Tech,49
479,Continental Tire Bowl,12/27/2003,23,Virginia,3.0,Pittsburgh,16
480,Alamo Bowl,12/29/2003,17,Nebraska,3.5,Michigan State,3
481,Houston Bowl,12/30/2003,38,Texas Tech,10.0,Navy,14
482,Holiday Bowl,12/30/2003,28,Washington State,-9.5,Texas,20
483,Silicon Valley Bowl,12/30/2003,17,Fresno State,-3.0,U.C.L.A.,9
484,Music City Bowl,12/31/2003,28,Auburn,3.0,Wisconsin,14
485,Sun Bowl,12/31/2003,30,Oregon,-5.0,Minnesota,31
486,Liberty Bowl,12/31/2003,0,Southern Miss,-2.5,Utah,17
487,Independence Bowl,12/31/2003,14,Missouri,-3.5,Arkansas,27
488,San Francisco Bowl,12/31/2003,35,Boston College,1.0,Colorado State,21
489,Outback Bowl,01/01/2004,37,Iowa,-4.0,Florida,17
490,Gator Bowl,01/01/2004,41,Maryland,4.5,West Virginia,7
491,Capital One Bowl,01/01/2004,34,Georgia,3.5,Purdue,27
492,Rose Bowl,01/01/2004,28,Southern Cal,7.0,Michigan,14
493,Orange Bowl,01/01/2004,16,Miami-Florida,-2.0,Florida State,14
494,Cotton Bowl,01/02/2004,31,Mississippi,3.0,Oklahoma State,28
495,Peach Bowl,01/02/2004,14,Tennessee,4.5,Clemson,27
496,Fiesta Bowl,01/02/2004,28,Kansas State,7.0,Ohio State,35
497,Humanitarian Bowl,01/03/2004,10,Tulsa,-7.5,Georgia Tech,52
498,Sugar Bowl,01/04/2004,14,Oklahoma,6.0,Louisiana State,21
499,New Orleans Bowl,12/14/2004,10,North Texas,-6.0,Southern Miss,31
500,Champs Sports Bowl,12/21/2004,51,Georgia Tech,6.0,Syracuse,14
501,GMAC Bowl,12/22/2004,52,Bowling Green,3.0,Memphis,35
502,Fort Worth Bowl,12/23/2004,32,Cincinnati,2.0,Marshall,14
503,Las Vegas Bowl,12/23/2004,21,U.C.L.A.,12.0,Wyoming,24
504,Hawaii Bowl,12/24/2004,59,Hawaii,3.5,U-A-B,40
505,MPC Computers Bowl,12/27/2004,34,Virginia,5.0,Fresno State,37
506,Motor City Bowl,12/27/2004,10,Toledo,3.5,Connecticut,39
507,Independence Bowl,12/28/2004,17,Iowa State,-1.0,Miami-Ohio,13
508,Insight Bowl,12/28/2004,21,Notre Dame,-4.0,Oregon State,38
509,Houston Bowl,12/29/2004,28,UTEP,-4.0,Colorado,33
510,Alamo Bowl,12/29/2004,7,Oklahoma State,3.5,Ohio State,33
511,Continental Tire Bowl,12/30/2004,24,North Carolina,1.0,Boston College,37
512,Emerald Bowl,12/30/2004,19,New Mexico,3.0,Navy,34
513,Holiday Bowl,12/30/2004,31,California,10.5,Texas Tech,45
514,Silicon Valley Bowl,12/30/2004,34,Northern Illinois,-1.5,Troy,21
515,Music City Bowl,12/31/2004,16,Alabama,1.5,Minnesota,20
516,Sun Bowl,12/31/2004,23,Purdue,8.5,Arizona State,27
517,Liberty Bowl,12/31/2004,44,Louisville,11.0,Boise State,40
518,Peach Bowl,12/31/2004,27,Miami-Florida,4.0,Florida,10
519,Outback Bowl,01/01/2005,24,Georgia,7.5,Wisconsin,21
520,Cotton Bowl,01/01/2005,7,Texas A+M,4.5,Tennessee,38
521,Gator Bowl,01/01/2005,30,Florida State,10.0,West Virginia,18
522,Capital One Bowl,01/01/2005,25,Louisiana State,6.0,Iowa,30
523,Rose Bowl,01/01/2005,38,Texas,7.5,Michigan,37
524,Fiesta Bowl,01/01/2005,35,Utah,14.0,Pittsburgh,7
525,Sugar Bowl,01/03/2005,16,Auburn,6.0,Virginia Tech,13
526,Orange Bowl,01/04/2005,55,Southern Cal,1.0,Oklahoma,19
527,New Orleans Bowl,12/20/2005,19,Arkansas State,-16.5,Southern Miss,31
528,GMAC Bowl,12/21/2005,13,UTEP,-3.0,Toledo,45
529,Las Vegas Bowl,12/22/2005,28,Brigham Young,-7.5,California,35
530,Poinsettia Bowl,12/22/2005,30,Colorado State,-2.5,Navy,51
531,Fort Worth Bowl,12/23/2005,42,Kansas,3.0,Houston,13
532,Hawaii Bowl,12/24/2005,49,Nevada-Reno,2.0,U-C-F,48
533,Motor City Bowl,12/26/2005,31,Akron,-5.0,Memphis,38
534,Champs Sports Bowl,12/27/2005,19,Clemson,10.0,Colorado,10
535,Insight Bowl,12/27/2005,45,Arizona State,10.0,Rutgers,40
536,MPC Computers Bowl,12/28/2005,21,Boise State,-1.5,Boston College,27
537,Alamo Bowl,12/28/2005,28,Michigan,11.0,Nebraska,32
538,Emerald Bowl,12/29/2005,38,Utah,-8.5,Georgia Tech,10
539,Holiday Bowl,12/29/2005,14,Oregon,3.0,Oklahoma,17
540,Music City Bowl,12/30/2005,31,Minnesota,4.0,Virginia,34
541,Sun Bowl,12/30/2005,50,U.C.L.A.,3.0,Northwestern,38
542,Independence Bowl,12/30/2005,31,South Carolina,4.0,Missouri,38
543,Peach Bowl,12/30/2005,3,Miami-Florida,7.0,Louisiana State,40
544,Meineke Car Care Bowl,12/31/2005,14,No Carolina State,4.0,South Florida,0
545,Liberty Bowl,12/31/2005,31,Tulsa,-7.0,Fresno State,24
546,Houston Bowl,12/31/2005,24,Iowa State,-3.5,Texas Christian,27
547,Cotton Bowl,01/02/2006,10,Texas Tech,3.5,Alabama,13
548,Outback Bowl,01/02/2006,31,Florida,1.5,Iowa,24
549,Gator Bowl,01/02/2006,35,Virginia Tech,7.5,Louisville,24
550,Capital One Bowl,01/02/2006,10,Auburn,11.0,Wisconsin,24
551,Fiesta Bowl,01/02/2006,34,Ohio State,4.5,Notre Dame,20
552,Sugar Bowl,01/02/2006,35,Georgia,7.0,West Virginia,38
553,Orange Bowl,01/03/2006,23,Florida State,-10.0,Penn State,26
554,Rose Bowl,01/04/2006,38,Southern Cal,7.5,Texas,41
555,Poinsettia Bowl,12/19/2006,37,Texas Christian,12.0,Northern Illinois,7
556,Las Vegas Bowl,12/21/2006,38,Brigham Young,3.0,Oregon,8
557,New Orleans Bowl,12/22/2006,41,Troy,-5.5,Rice,17
558,PapaJohns.com Bowl,12/23/2006,24,South Florida,4.5,East Carolina,7
559,New Mexico Bowl,12/23/2006,12,New Mexico,3.5,San Jose State,20
560,Armed Forces Bowl,12/23/2006,25,Utah,2.5,Tulsa,13
561,Hawaii Bowl,12/24/2006,41,Hawaii,9.0,Arizona State,24
562,Motor City Bowl,12/26/2006,31,Central Michigan,8.5,Middle Tennessee,14
563,Emerald Bowl,12/27/2006,27,U.C.L.A.,3.5,Florida State,44
564,Independence Bowl,12/28/2006,31,Alabama,-2.0,Oklahoma State,34
565,Texas Bowl,12/28/2006,37,Rutgers,9.0,Kansas State,10
566,Holiday Bowl,12/28/2006,45,California,3.0,Texas A+M,10
567,Music City Bowl,12/29/2006,20,Clemson,11.5,Kentucky,28
568,Sun Bowl,12/29/2006,39,Oregon State,3.5,Missouri,38
569,Liberty Bowl,12/29/2006,44,South Carolina,4.5,Houston,36
570,Champs Sports Bowl,12/29/2006,24,Maryland,-1.0,Purdue,7
571,Insight Bowl,12/29/2006,44,Texas Tech,8.5,Minnesota,41
572,Meineke Car Care Bowl,12/30/2006,25,Boston College,8.0,Navy,24
573,Alamo Bowl,12/30/2006,26,Texas,9.0,Iowa,24
574,Chick-fil-A Bowl,12/30/2006,31,Georgia,-3.0,Virginia Tech,24
575,MPC Computers Bowl,12/31/2006,21,Miami-Florida,3.5,Nevada-Reno,20
576,Cotton Bowl,01/01/2007,17,Auburn,2.0,Nebraska,14
577,Outback Bowl,01/01/2007,10,Tennessee,4.0,Penn State,20
578,Capital One Bowl,01/01/2007,14,Arkansas,2.0,Wisconsin,17
579,Gator Bowl,01/01/2007,38,West Virginia,9.0,Georgia Tech,35
580,Rose Bowl,01/01/2007,32,Southern Cal,-2.0,Michigan,18
581,Fiesta Bowl,01/01/2007,42,Oklahoma,7.5,Boise State,43
582,Orange Bowl,01/02/2007,24,Louisville,10.0,Wake Forest,13
583,Sugar Bowl,01/03/2007,41,Louisiana State,9.0,Notre Dame,14
584,International Bowl,01/06/2007,27,Cincinnati,7.5,Western Michigan,24
585,GMAC Bowl,01/07/2007,28,Southern Miss,6.0,Ohio,7
586,Poinsettia Bowl,12/20/2007,35,Utah,9.0,Navy,32
587,New Orleans Bowl,12/21/2007,27,Memphis,-3.5,Florida Atlantic,44
588,Papajohns.com Bowl,12/22/2007,31,Cincinnati,11.0,Southern Miss,21
589,New Mexico Bowl,12/22/2007,23,New Mexico,2.5,Nevada-Reno,0
590,Las Vegas Bowl,12/22/2007,17,Brigham Young,6.5,U.C.L.A.,16
591,Hawaii Bowl,12/23/2007,38,Boise State,11.5,East Carolina,41
592,Motor City Bowl,12/26/2007,51,Purdue,8.5,Central Michigan,48
593,Holiday Bowl,12/27/2007,34,Arizona State,-2.0,Texas,52
594,Champs Sports Bowl,12/28/2007,24,Boston College,5.0,Michigan State,21
595,Texas Bowl,12/28/2007,13,Houston,-6.5,Texas Christian,20
596,Emerald Bowl,12/28/2007,21,Oregon State,5.0,Maryland,14
597,Meineke Car Care Bowl,12/29/2007,24,Wake Forest,2.5,Connecticut,10
598,Liberty Bowl,12/29/2007,10,Mississippi State,-3.0,U-C-F,3
599,Alamo Bowl,12/29/2007,17,Texas A+M,-5.5,Penn State,24
600,Independence Bowl,12/30/2007,30,Alabama,4.5,Colorado,24
601,Armed Forces Bowl,12/31/2007,42,California,4.0,Air Force,36
602,Sun Bowl,12/31/2007,21,South Florida,6.0,Oregon,56
603,Humanitarian Bowl,12/31/2007,28,Georgia Tech,5.0,Fresno State,40
604,Music City Bowl,12/31/2007,35,Kentucky,7.0,Florida State,28
605,Insight Bowl,12/31/2007,49,Oklahoma State,6.5,Indiana,33
606,Chick-fil-A Bowl,12/31/2007,20,Clemson,2.0,Auburn,23
607,Outback Bowl,01/01/2008,21,Tennessee,2.5,Wisconsin,17
608,Cotton Bowl,01/01/2008,38,Missouri,4.0,Arkansas,7
609,Capital One Bowl,01/01/2008,35,Florida,10.5,Michigan,41
610,Gator Bowl,01/01/2008,28,Virginia,-6.5,Texas Tech,31
611,Rose Bowl,01/01/2008,49,Southern Cal,13.5,Illinois,17
612,Sugar Bowl,01/01/2008,41,Georgia,8.5,Hawaii,10
613,Fiesta Bowl,01/02/2008,28,Oklahoma,8.5,West Virginia,48
614,Orange Bowl,01/03/2008,21,Virginia Tech,3.5,Kansas,24
615,International Bowl,01/05/2008,52,Rutgers,11.0,Ball State,30
616,GMAC Bowl,01/06/2008,63,Tulsa,5.5,Bowling Green,7
617,BCS Championship Game,01/07/2008,38,Louisiana State,3.5,Ohio State,24
618,EagleBank Bowl,12/20/2008,29,Wake Forest,3.0,Navy,19
619,New Mexico Bowl,12/20/2008,40,Colorado State,-3.0,Fresno State,35
620,St Petersburg Bowl,12/20/2008,41,South Florida,11.0,Memphis,14
621,Las Vegas Bowl,12/20/2008,31,Arizona,3.5,Brigham Young,21
622,New Orleans Bowl,12/21/2008,30,Southern Miss,-5.0,Troy,27
623,Poinsettia Bowl,12/23/2008,16,Boise State,-3.0,Texas Christian,17
624,Hawaii Bowl,12/24/2008,21,Hawaii,-2.5,Notre Dame,49
625,Motor City Bowl,12/26/2008,21,Central Michigan,7.0,Florida Atlantic,24
626,Meineke Car Care Bowl,12/27/2008,30,North Carolina,-2.5,West Virginia,31
627,Champs Sports Bowl,12/27/2008,42,Florida State,7.0,Wisconsin,13
628,Emerald Bowl,12/27/2008,24,California,10.0,Miami-Florida,17
629,Independence Bowl,12/28/2008,17,Louisiana Tech,3.0,Northern Illinois,10
630,PapaJohns.com Bowl,12/29/2008,29,Rutgers,6.0,No Carolina State,23
631,Alamo Bowl,12/29/2008,30,Missouri,14.0,Northwestern,23
632,Humanitarian Bowl,12/30/2008,42,Maryland,-3.0,Nevada-Reno,35
633,Texas Bowl,12/30/2008,38,Rice,3.0,Western Michigan,14
634,Holiday Bowl,12/30/2008,31,Oklahoma State,2.5,Oregon,42
635,Armed Forces Bowl,12/31/2008,34,Houston,5.5,Air Force,28
636,Sun Bowl,12/31/2008,3,Oregon State,1.0,Pittsburgh,0
637,Music City Bowl,12/31/2008,16,Vanderbilt,-5.5,Boston College,14
638,Insight Bowl,12/31/2008,42,Kansas,7.5,Minnesota,21
639,Chick-Fil-A Bowl,12/31/2008,3,Georgia Tech,4.0,Louisiana State,38
640,Outback Bowl,01/01/2009,10,South Carolina,-3.5,Iowa,31
641,Gator Bowl,01/01/2009,26,Nebraska,-2.0,Clemson,21
642,Capital One Bowl,01/01/2009,24,Georgia,9.0,Michigan State,12
643,Rose Bowl,01/01/2009,38,Southern Cal,9.0,Penn State,24
644,Orange Bowl,01/01/2009,7,Cincinnati,2.0,Virginia Tech,20
645,Cotton Bowl,01/02/2009,34,Texas Tech,4.5,Mississippi,47
646,Liberty Bowl,01/02/2009,25,Kentucky,-3.0,East Carolina,19
647,Sugar Bowl,01/02/2009,17,Alabama,9.5,Utah,31
648,International Bowl,01/03/2009,38,Connecticut,7.0,Buffalo,20
649,Fiesta Bowl,01/05/2009,24,Texas,9.5,Ohio State,21
650,GMAC Bowl,01/06/2009,45,Tulsa,2.5,Ball State,13
651,BCS Championship Game,01/08/2009,14,Oklahoma,-4.5,Florida,24
652,,12/19/2009,28,Fresno State,10.0,Wyoming,35
653,,12/19/2009,45,Rutgers,3.0,U-C-F,24
654,,12/20/2009,32,Southern Miss,3.5,Middle Tennessee,42
655,,12/22/2009,20,Oregon State,3.0,Brigham Young,44
656,,12/23/2009,27,California,3.0,Utah,37
657,,12/24/2009,10,Nevada-Reno,11.0,S-M-U,45
658,,12/26/2009,21,Marshall,-3.0,Ohio,17
659,,12/26/2009,19,Pittsburgh,1.0,North Carolina,17
660,,12/26/2009,24,Southern Cal,7.0,Boston College,13
661,,12/27/2009,21,Clemson,6.5,Kentucky,13
662,,12/28/2009,44,Georgia,6.5,Texas A+M,20
663,,12/29/2009,21,Temple,-4.5,U.C.L.A.,30
664,,12/29/2009,14,Miami-Florida,3.5,Wisconsin,20
665,,12/30/2009,43,Idaho,1.0,Bowling Green,42
666,,12/30/2009,0,Arizona,-2.5,Nebraska,33
667,,12/31/2009,13,Missouri,7.0,Navy,35
668,,12/31/2009,20,Houston,4.5,Air Force,47
669,,12/31/2009,31,Oklahoma,10.5,Stanford,27
670,,12/31/2009,13,Minnesota,1.5,Iowa State,14
671,,12/31/2009,37,Virginia Tech,4.5,Tennessee,14
672,,01/01/2010,38,Auburn,9.0,Northwestern,35
673,,01/01/2010,21,West Virginia,3.0,Florida State,33
674,,01/01/2010,19,Penn State,-1.5,Louisiana State,17
675,,01/01/2010,17,Oregon,5.0,Ohio State,26
676,,01/01/2010,51,Florida,12.5,Cincinnati,24
677,,01/02/2010,27,South Florida,6.5,Northern Illinois,3
678,,01/02/2010,7,South Carolina,3.5,Connecticut,20
679,,01/02/2010,7,Oklahoma State,-3.0,Mississippi,21
680,,01/02/2010,17,East Carolina,-7.5,Arkansas,20
681,,01/02/2010,41,Texas Tech,7.5,Michigan State,31
682,,01/04/2010,10,Texas Christian,7.0,Boise State,17
683,,01/05/2010,14,Georgia Tech,5.5,Iowa,24
684,,01/06/2010,44,Central Michigan,3.5,Troy,41
685,,01/07/2010,37,Alabama,4.0,Texas,21
686,,12/18/2010,52,Brigham Young,11.5,UTEP,24
687,,12/18/2010,17,Fresno State,-1.5,Northern Illinois,40
688,,12/18/2010,48,Troy,2.0,Ohio,21
689,,12/21/2010,28,Southern Miss,-2.5,Louisville,31
690,,12/22/2010,26,Boise State,16.5,Utah,3
691,,12/23/2010,35,San Diego State,3.0,Navy,14
692,,12/24/2010,35,Hawaii,10.0,Tulsa,62
693,,12/26/2010,32,Toledo,1.5,Florida Intl,34
694,,12/27/2010,14,Air Force,3.0,Georgia Tech,7
695,,12/28/2010,7,West Virginia,3.0,No Carolina State,23
696,,12/28/2010,27,Iowa,-3.0,Missouri,24
697,,12/29/2010,51,Maryland,7.5,East Carolina,20
698,,12/29/2010,14,Baylor,1.0,Illinois,38
699,,12/29/2010,36,Oklahoma State,4.5,Arizona,10
700,,12/30/2010,14,S-M-U,7.0,Army,16
701,,12/30/2010,36,Syracuse,0.0,Kansas State,34
702,,12/30/2010,27,Tennessee,-1.0,North Carolina,30
703,,12/30/2010,7,Nebraska,14.0,Washington,19
704,,12/31/2010,26,Clemson,6.0,South Florida,31
705,,12/31/2010,17,Miami-Florida,3.0,Notre Dame,33
706,,12/31/2010,6,Georgia,6.5,U-C-F,10
707,,12/31/2010,17,South Carolina,3.0,Florida State,26
708,,01/01/2011,45,Texas Tech,7.5,Northwestern,38
709,,01/01/2011,37,Florida,6.5,Penn State,24
710,,01/01/2011,49,Alabama,8.0,Michigan State,7
711,,01/01/2011,52,Mississippi State,3.0,Michigan,14
712,,01/01/2011,19,Wisconsin,-3.0,Texas Christian,21
713,,01/01/2011,48,Oklahoma,15.0,Connecticut,20
714,,01/03/2011,40,Stanford,3.5,Virginia Tech,12
715,,01/04/2011,31,Ohio State,3.0,Arkansas,26
716,,01/06/2011,35,Miami-Ohio,-2.0,Middle Tennessee,21
717,,01/07/2011,41,Louisiana State,2.5,Texas A+M,24
718,,01/08/2011,27,Pittsburgh,4.5,Kentucky,10
719,,01/09/2011,20,Nevada-Reno,7.5,Boston College,13
720,,01/10/2011,22,Auburn,1.5,Oregon,19
721,,12/17/2011,15,Wyoming,-7.0,Temple,37
722,,12/17/2011,24,Ohio,0.0,Utah State,23
723,,12/17/2011,30,San Diego State,5.5,UL-Lafayette,32
724,,12/20/2011,20,Marshall,-4.0,Florida Intl,10
725,,12/21/2011,31,Texas Christian,10.0,Louisiana Tech,24
726,,12/22/2011,56,Boise State,14.5,Arizona State,24
727,,12/24/2011,24,Southern Miss,7.5,Nevada-Reno,17
728,,12/26/2011,41,Missouri,5.0,North Carolina,24
729,,12/27/2011,37,Purdue,1.0,Western Michigan,32
730,,12/27/2011,31,No Carolina State,2.0,Louisville,24
731,,12/28/2011,41,Air Force,-3.5,Toledo,42
732,,12/28/2011,21,Texas,3.5,California,10
733,,12/29/2011,18,Florida State,3.0,Notre Dame,14
734,,12/29/2011,67,Baylor,8.5,Washington,56
735,,12/30/2011,24,Brigham Young,-2.5,Tulsa,21
736,,12/30/2011,13,Iowa State,2.0,Rutgers,27
737,,12/30/2011,23,Mississippi State,7.0,Wake Forest,17
738,,12/30/2011,31,Oklahoma,14.0,Iowa,14
739,,12/31/2011,22,Northwestern,-8.5,Texas A+M,33
740,,12/31/2011,27,Georgia Tech,2.0,Utah,30
741,,12/31/2011,20,Illinois,2.5,U.C.L.A.,14
742,,12/31/2011,24,Vanderbilt,1.0,Cincinnati,31
743,,12/31/2011,43,Auburn,2.5,Virginia,24
744,,01/02/2012,30,Houston,6.5,Penn State,14
745,,01/02/2012,30,Georgia,2.5,Michigan State,33
746,,01/02/2012,30,South Carolina,3.0,Nebraska,13
