,Date,Visitor,Visitor Score,Home Team,Home Score,Line
145,09/23/1978,Fresno State,22.0,Utah State,45.0, 
146,09/23/1978,Florida State,31.0,Miami-Florida,21.0,-9.0
147,09/23/1978,Fullerton State,27.0,Cal-San Luis Obispo,41.0, 
148,09/23/1978,Furman,10.0,Vanderbilt,17.0, 
149,09/23/1978,Grand Valley State,3.0,Bowling Green,49.0, 
150,09/23/1978,Holy Cross,35.0,Air Force,18.0,12.0
151,09/23/1978,Iowa State,31.0,Iowa,0.0,-2.5
152,09/23/1978,Idaho,6.0,Wichita State,28.0, 
153,09/23/1978,Illinois State,3.0,Kent State,34.0, 
154,09/23/1978,Indiana State,8.0,Eastern Michigan,27.0, 
155,09/23/1978,Kansas State,14.0,Tulsa,24.0,1.5
156,09/23/1978,Louisville,28.0,Cincinnati,14.0, 
157,09/23/1978,Louisiana Tech,28.0,Texas-Arlington,21.0, 
158,09/23/1978,McNeese State,7.0,Northwestern St(LA),10.0, 
159,09/23/1978,Maryland,21.0,North Carolina,20.0,2.5
160,09/23/1978,Michigan,28.0,Notre Dame,14.0,1.0
161,09/23/1978,Mississippi,14.0,Missouri,45.0,1.0
162,09/23/1978,Mississippi State,44.0,Memphis,14.0,-2.0
163,09/23/1978,Navy,30.0,Connecticut,0.0, 
164,09/23/1978,Northern Illinois,10.0,UL-Monroe,27.0, 
165,09/23/1978,North Texas,22.0,New Mexico State,21.0, 
166,09/23/1978,Ohio,0.0,Purdue,24.0, 
167,09/23/1978,Ohio State,27.0,Minnesota,10.0,-18.5
168,09/23/1978,Oregon State,13.0,Tennessee,13.0,13.5
169,09/23/1978,Pacific,6.0,California,24.0, 
170,09/23/1978,Pennsylvania,21.0,Dartmouth,31.0,-4.0
171,09/23/1978,Princeton,14.0,Cornell,14.0,-6.0
172,09/23/1978,Rice,7.0,Oklahoma,66.0,42.0
173,09/23/1978,Richmond,19.0,Appalachian State,24.0, 
174,09/23/1978,Rutgers,27.0,Bucknell,13.0, 
175,09/23/1978,Southern Cal,24.0,Alabama,14.0,10.5
176,09/23/1978,South Carolina,12.0,Duke,16.0,0.0
177,09/23/1978,San Diego State,24.0,UTEP,31.0, 
178,09/23/1978,San Jose State,7.0,Colorado,22.0, 
179,09/23/1978,S-M-U,21.0,Penn State,26.0,15.0
180,09/23/1978,Stanford,35.0,Illinois,10.0,-8.5
181,09/23/1978,Syracuse,21.0,Michigan State,49.0,7.5
182,09/23/1978,Texas Christian,14.0,Oregon,10.0,6.0
183,09/23/1978,Temple,12.0,Pittsburgh,20.0, 
184,09/23/1978,Toledo,0.0,Ball State,20.0, 
185,09/23/1978,Tulane,17.0,Georgia Tech,27.0,9.0
186,09/23/1978,Texas A+M,37.0,Boston College,2.0,-15.0
187,09/23/1978,U.C.L.A.,24.0,Kansas,28.0,-16.5
188,09/23/1978,Nevada-Las Vegas,0.0,New Mexico,24.0, 
189,09/23/1978,Utah,25.0,Houston,42.0, 
190,09/23/1978,Virginia,21.0,Army,17.0,7.0
191,09/23/1978,Virginia Military,3.0,The Citadel,14.0, 
192,09/23/1978,Washington,7.0,Indiana,14.0,-9.0
193,09/23/1978,Wake Forest,11.0,Louisiana State,13.0,29.0
194,09/23/1978,Wisconsin,28.0,Northwestern,7.0,-6.5
195,09/23/1978,Western Michigan,3.0,Miami-Ohio,7.0, 
196,09/23/1978,William + Mary,21.0,Villanova,17.0, 
197,09/23/1978,West Texas A+M,3.0,Southern Illinois,17.0, 
198,09/23/1978,West Virginia,15.0,No Carolina State,29.0,14.0
199,09/23/1978,Wyoming,3.0,Texas,17.0, 
200,09/23/1978,Yale,21.0,Brown,0.0,4.0
201,09/29/1978,Lehigh,13.0,Pennsylvania,21.0, 
202,09/29/1978,Michigan State,9.0,Southern Cal,30.0,13.5
203,09/30/1978,Air Force,21.0,Kansas State,34.0,6.5
204,09/30/1978,Ball State,27.0,Central Michigan,0.0, 
205,09/30/1978,Baylor,28.0,Ohio State,34.0,14.0
206,09/30/1978,Bowling Green,20.0,Western Michigan,24.0, 
207,09/30/1978,Brigham Young,27.0,New Mexico,23.0, 
208,09/30/1978,California,28.0,West Virginia,21.0,-11.0
209,09/30/1978,Chattanooga,14.0,Middle Tennessee,14.0, 
210,09/30/1978,Cincinnati,28.0,Richmond,51.0, 
211,09/30/1978,The Citadel,0.0,Georgia Tech,28.0, 
212,09/30/1978,Connecticut,7.0,Yale,21.0, 
213,09/30/1978,Cornell,21.0,Colgate,12.0,5.5
214,09/30/1978,Colorado State,6.0,Utah,30.0, 
215,09/30/1978,Cal-San Luis Obispo,24.0,Fresno State,12.0, 
216,09/30/1978,Dartmouth,0.0,Holy Cross,35.0,7.0
217,09/30/1978,Dayton,10.0,Miami-Ohio,10.0, 
218,09/30/1978,Delaware,7.0,Temple,38.0, 
219,09/30/1978,Drake,7.0,Iowa State,35.0, 
220,09/30/1978,Duke,0.0,Michigan,52.0,17.0
221,09/30/1978,East Carolina,23.0,Texas-Arlington,17.0, 
222,09/30/1978,Eastern Michigan,17.0,Toledo,12.0, 
223,09/30/1978,Fullerton State,33.0,Hawaii,42.0, 
224,09/30/1978,Furman,52.0,Appalachian State,34.0, 
225,09/30/1978,Georgia,10.0,South Carolina,27.0,4.0
226,09/30/1978,Houston,27.0,Florida State,21.0,6.5
227,09/30/1978,Illinois,28.0,Syracuse,14.0,6.5
228,09/30/1978,Illinois State,21.0,Northern Illinois,49.0, 
229,09/30/1978,Indiana State,12.0,Louisville,31.0, 
230,09/30/1978,Iowa,3.0,Arizona,23.0,6.0
231,09/30/1978,Kentucky,3.0,Maryland,20.0,4.5
232,09/30/1978,Lafayette,0.0,Columbia,21.0, 
233,09/30/1978,Lamar,16.0,UL-Lafayette,23.0, 
234,09/30/1978,Long Beach State,0.0,Pacific,14.0, 
235,09/30/1978,Louisiana State,37.0,Rice,7.0,-24.0
236,09/30/1978,Marshall,14.0,Western Carolina,21.0, 
237,09/30/1978,Massachusetts,0.0,Harvard,10.0, 
238,09/30/1978,McNeese State,20.0,Louisiana Tech,34.0, 
239,09/30/1978,Memphis,0.0,Texas A+M,58.0,21.0
240,09/30/1978,Miami-Florida,38.0,Kansas,6.0,-1.0
241,09/30/1978,Minnesota,3.0,U.C.L.A.,17.0,16.0
242,09/30/1978,Mississippi,16.0,Southern Miss,13.0, 
243,09/30/1978,Missouri,23.0,Oklahoma,45.0,16.0
244,09/30/1978,Mississippi State,0.0,Florida,34.0,-6.0
245,09/30/1978,Navy,19.0,Boston College,8.0,-1.0
246,09/30/1978,North Carolina,16.0,Pittsburgh,20.0,-6.5
247,09/30/1978,No Carolina State,34.0,Wake Forest,10.0,-13.0
248,09/30/1978,Nebraska,69.0,Indiana,17.0,-7.5
249,09/30/1978,UL-Monroe,46.0,Northwestern St(LA),0.0, 
250,09/30/1978,New Mexico State,39.0,Southern Illinois,43.0, 
251,09/30/1978,Northwestern,7.0,Colorado,55.0,27.0
252,09/30/1978,Ohio,14.0,Kent State,20.0, 
253,09/30/1978,Oklahoma State,7.0,North Texas,12.0, 
254,09/30/1978,Oregon,19.0,Wisconsin,22.0,13.0
255,09/30/1978,Princeton,0.0,Rutgers,24.0,12.0
256,09/30/1978,Purdue,6.0,Notre Dame,10.0,13.0
257,09/30/1978,Rhode Island,17.0,Brown,3.0, 
258,09/30/1978,Santa Clara,7.0,San Jose State,17.0, 
259,09/30/1978,Texas Christian,0.0,Penn State,58.0,30.0
260,09/30/1978,Tennessee,10.0,Auburn,29.0,4.5
261,09/30/1978,Texas,24.0,Texas Tech,7.0,-14.0
262,09/30/1978,Tulane,14.0,Stanford,17.0,15.0
263,09/30/1978,Tulsa,13.0,Arkansas,21.0,33.0
264,09/30/1978,UTEP,0.0,Arizona State,27.0, 
265,09/30/1978,Utah State,20.0,Wyoming,13.0, 
266,09/30/1978,Vanderbilt,28.0,Alabama,51.0,29.0
267,09/30/1978,Villanova,0.0,Clemson,31.0, 
268,09/30/1978,Virginia Military,17.0,Virginia,9.0,3.0
269,09/30/1978,Washington,34.0,Oregon State,0.0,-13.5
270,09/30/1978,Washington State,21.0,Army,21.0,-16.0
271,09/30/1978,Wichita State,38.0,West Texas A+M,37.0, 
272,09/30/1978,William + Mary,19.0,Virginia Tech,22.0, 
273,10/07/1978,Akron,14.0,Eastern Michigan,25.0, 
274,10/07/1978,Alabama,20.0,Washington,17.0,-7.0
275,10/07/1978,Appalachian State,14.0,Chattanooga,72.0, 
276,10/07/1978,Arizona,17.0,Michigan,21.0,21.0
277,10/07/1978,Army,13.0,Tennessee,31.0,13.5
278,10/07/1978,Arizona State,56.0,Northwestern,14.0,-15.0
279,10/07/1978,Boston University,20.0,Dartmouth,17.0, 
280,10/07/1978,Bowling Green,45.0,Toledo,27.0, 
281,10/07/1978,Brown,44.0,Princeton,16.0,1.5
282,10/07/1978,Bucknell,0.0,Cornell,24.0, 
283,10/07/1978,Cincinnati,21.0,Florida State,26.0, 
284,10/07/1978,Central Michigan,17.0,Ohio,3.0, 
285,10/07/1978,Colgate,21.0,Harvard,24.0,6.5
286,10/07/1978,Columbia,19.0,Pennsylvania,31.0,7.0
287,10/07/1978,East Carolina,19.0,Virginia Military,6.0, 
288,10/07/1978,Fresno State,14.0,San Diego State,31.0, 
289,10/07/1978,Fullerton State,17.0,Pacific,35.0, 
290,10/07/1978,Houston,20.0,Baylor,18.0,-2.0
291,10/07/1978,Idaho,14.0,Nevada-Las Vegas,53.0, 
292,10/07/1978,Illinois,3.0,Missouri,45.0,15.0
293,10/07/1978,Indiana,7.0,Wisconsin,34.0,-4.0
294,10/07/1978,Indiana State,0.0,Ball State,7.0, 
295,10/07/1978,Kansas,7.0,Colorado,17.0,18.0
296,10/07/1978,Louisville,7.0,Tulsa,24.0, 
297,10/07/1978,Louisiana State,34.0,Florida,21.0,-6.0
298,10/07/1978,Louisiana Tech,6.0,UL-Lafayette,24.0, 
299,10/07/1978,Marshall,0.0,The Citadel,41.0, 
300,10/07/1978,Miami-Florida,17.0,Auburn,15.0,7.0
301,10/07/1978,Miami-Ohio,7.0,North Carolina,3.0, 
302,10/07/1978,Mississippi,3.0,Georgia,42.0,3.5
303,10/07/1978,Mississippi State,17.0,Southern Miss,22.0, 
304,10/07/1978,Navy,37.0,Air Force,8.0,-8.0
305,10/07/1978,No Carolina State,7.0,Maryland,31.0,7.0
306,10/07/1978,Notre Dame,29.0,Michigan State,25.0,-6.5
307,10/07/1978,Nebraska,23.0,Iowa State,0.0,-5.5
308,10/07/1978,UL-Monroe,17.0,Lamar,17.0, 
309,10/07/1978,Nicholls State,10.0,McNeese State,35.0, 
310,10/07/1978,Northern Illinois,19.0,Long Beach State,24.0, 
311,10/07/1978,New Mexico,19.0,Wyoming,15.0, 
312,10/07/1978,North Texas,35.0,West Texas A+M,0.0, 
313,10/07/1978,Northwestern St(LA),14.0,Arkansas State,23.0, 
314,10/07/1978,Oklahoma,31.0,Texas,10.0,-8.0
315,10/07/1978,Oklahoma State,7.0,Kansas State,18.0,-3.5
316,10/07/1978,Oregon,18.0,California,21.0,20.5
317,10/07/1978,Oregon State,17.0,Minnesota,14.0,7.5
318,10/07/1978,Penn State,30.0,Kentucky,0.0,-7.5
319,10/07/1978,Pittsburgh,32.0,Boston College,15.0,-14.0
320,10/07/1978,Richmond,14.0,Villanova,17.0, 
321,10/07/1978,Rutgers,28.0,Yale,27.0,-3.5
322,10/07/1978,South Carolina,3.0,Georgia Tech,6.0,-3.0
323,10/07/1978,Southern Illinois,26.0,Illinois State,0.0, 
324,10/07/1978,San Jose State,11.0,Hawaii,25.0, 
325,10/07/1978,S-M-U,35.0,Ohio State,35.0,13.5
326,10/07/1978,Stanford,26.0,U.C.L.A.,27.0,6.5
327,10/07/1978,Syracuse,31.0,West Virginia,15.0,0.0
328,10/07/1978,Texas-Arlington,28.0,New Mexico State,17.0, 
329,10/07/1978,Texas Christian,3.0,Arkansas,42.0,34.0
330,10/07/1978,Temple,22.0,William + Mary,22.0, 
331,10/07/1978,Texas Tech,9.0,Texas A+M,38.0,19.0
332,10/07/1978,Tulane,38.0,Vanderbilt,3.0,-1.5
333,10/07/1978,Utah,13.0,Iowa,9.0, 
334,10/07/1978,UTEP,29.0,Colorado State,39.0, 
335,10/07/1978,Utah State,24.0,Brigham Young,7.0, 
336,10/07/1978,Virginia,13.0,Duke,20.0,20.5
337,10/07/1978,Virginia Tech,7.0,Clemson,38.0,14.0
338,10/07/1978,Wake Forest,7.0,Purdue,14.0,17.0
339,10/07/1978,Wichita State,22.0,Drake,48.0, 
340,10/07/1978,Western Michigan,14.0,Kent State,0.0, 
341,10/07/1978,Wofford,12.0,Furman,36.0, 
342,10/14/1978,Arkansas State,26.0,Southern Illinois,24.0, 
343,10/14/1978,Appalachian State,49.0,Lenoir-Rhyne,28.0, 
344,10/14/1978,Auburn,49.0,Vanderbilt,7.0,-11.0
345,10/14/1978,Ball State,7.0,Louisiana Tech,17.0, 
346,10/14/1978,Boston College,3.0,Tulane,9.0,9.0
347,10/14/1978,Brigham Young,17.0,Oregon,16.0,-6.5
348,10/14/1978,California,33.0,Arizona,20.0,0.0
349,10/14/1978,Cincinnati,13.0,Temple,16.0, 
350,10/14/1978,The Citadel,24.0,Western Carolina,38.0, 
351,10/14/1978,Clemson,30.0,Virginia,14.0,-20.0
352,10/14/1978,Colgate,20.0,Villanova,14.0, 
353,10/14/1978,Colorado,20.0,Oklahoma State,24.0,-10.5
354,10/14/1978,Connecticut,0.0,Rutgers,10.0, 
355,10/14/1978,Cornell,25.0,Harvard,20.0,4.0
356,10/14/1978,Colorado State,31.0,Air Force,13.0,-1.0
357,10/14/1978,Drake,0.0,Indiana State,13.0, 
358,10/14/1978,Duke,8.0,Navy,31.0,3.5
359,10/14/1978,East Carolina,16.0,Southern Miss,17.0, 
360,10/14/1978,Florida,12.0,Alabama,23.0,24.0
361,10/14/1978,Florida State,27.0,Mississippi State,55.0,-1.5
362,10/14/1978,Furman,35.0,East Tennessee St,14.0, 
363,10/14/1978,Georgia,24.0,Louisiana State,17.0,7.0
364,10/14/1978,Hawaii,20.0,Nevada-Las Vegas,30.0, 
365,10/14/1978,Holy Cross,31.0,Army,0.0,3.5
366,10/14/1978,Iowa State,13.0,Missouri,26.0,7.0
367,10/14/1978,Illinois State,7.0,Central Michigan,45.0, 
368,10/14/1978,Iowa,20.0,Minnesota,22.0,5.5
369,10/14/1978,Jacksonville St,21.0,Chattanooga,28.0, 
370,10/14/1978,James Madison,7.0,William + Mary,32.0, 
371,10/14/1978,Kent State,20.0,Bowling Green,28.0, 
372,10/14/1978,Kansas State,14.0,Nebraska,48.0,27.0
373,10/14/1978,Kentucky,24.0,Mississippi,17.0,0.0
374,10/14/1978,Lamar,16.0,West Texas A+M,55.0, 
375,10/14/1978,Long Beach State,33.0,Utah State,17.0, 
376,10/14/1978,Michigan State,24.0,Michigan,15.0,15.0
377,10/14/1978,Maryland,24.0,Syracuse,9.0,-13.5
378,10/14/1978,Miami-Florida,19.0,Georgia Tech,24.0,-2.0
379,10/14/1978,Miami-Ohio,29.0,Marshall,3.0, 
380,10/14/1978,North Carolina,34.0,Wake Forest,29.0,-12.5
381,10/14/1978,UL-Monroe,10.0,McNeese State,31.0, 
382,10/14/1978,Nevada-Reno,37.0,Fullerton State,14.0, 
383,10/14/1978,North Texas,16.0,Texas,26.0, 
384,10/14/1978,Northwestern St(LA),7.0,Louisville,51.0, 
385,10/14/1978,Northwestern,10.0,Indiana,38.0,18.5
386,10/14/1978,Ohio,7.0,South Carolina,24.0, 
387,10/14/1978,Ohio State,16.0,Purdue,27.0,-7.5
388,10/14/1978,Oklahoma,17.0,Kansas,16.0,-26.0
389,10/14/1978,Pacific,27.0,Fresno State,7.0, 
390,10/14/1978,Pennsylvania,0.0,Brown,14.0,6.0
391,10/14/1978,Pittsburgh,17.0,Notre Dame,26.0,5.5
392,10/14/1978,Princeton,10.0,Columbia,14.0,3.5
393,10/14/1978,Rice,21.0,Texas Christian,14.0,7.5
394,10/14/1978,Southern Cal,7.0,Arizona State,20.0,-13.5
395,10/14/1978,San Diego State,22.0,Wyoming,31.0, 
396,10/14/1978,San Jose State,15.0,Boise State,30.0, 
397,10/14/1978,S-M-U,28.0,Baylor,21.0,-2.5
398,10/14/1978,UL-Lafayette,3.0,Texas-Arlington,24.0, 
399,10/14/1978,Toledo,7.0,Western Michigan,17.0, 
400,10/14/1978,Texas Tech,36.0,New Mexico,23.0,-4.0
401,10/14/1978,Tulsa,20.0,New Mexico State,23.0, 
402,10/14/1978,Texas A+M,0.0,Houston,33.0,-8.0
403,10/14/1978,Virginia Military,23.0,Richmond,6.0, 
404,10/14/1978,Washington,34.0,Stanford,31.0,-1.0
405,10/14/1978,Washington State,31.0,U.C.L.A.,45.0,10.5
406,10/14/1978,Weber State,7.0,Utah,30.0, 
407,10/14/1978,Wichita State,13.0,Memphis,26.0, 
